frequency,permittivity,conductivity
100000,948.1687364725416,0.3185897629686624
158489.31924611135,679.8571022777344,0.32012450978445
251188.643150958,477.8915827410018,0.32170377566702113
398107.17055349733,348.91772098169605,0.3231000536204103
630957.3444801933,274.5545073367493,0.3245958022555233
1000000,224.55177872575902,0.3266748224141676
1584893.1924611137,182.58987943701865,0.32935570115632923
2511886.43150958,149.73878083648907,0.33202045787473217
3981071.705534973,129.3641280736514,0.3344362603659413
6309573.444801933,118.27505792283625,0.3375056335329154
10000000,110.95695194282976,0.3432536115416256
15848931.924611136,102.89394618702195,0.35472302517853993
25118864.3150958,91.66612493892202,0.3742170187269677
39810717.05534973,78.71257830210257,0.3995276256402536
63095734.44801933,67.79345808191599,0.42639863563355507
100000000,60.04936539619032,0.4564757611850752
